Supplemental Table 3: Known and putative novel ncNATs and their partner genes. ,,,,,,,
# Note to gene_id prefixes:,,,,,,,
# ENSG* - Ensembl/GENCODE genes,,,,,,,
# NONH* - Noncode genes,,,,,,,
# MSTRG* - Novel genes,,,,,,,
# Other - RefSeq genes,,,,,,,
,gene_id,seqnames,start,end,strand,gene_name,partners
2027,ENSG00000278915.1,chr5,140875346,140875922,-,AC005609.3,ENSG00000204965.9
2028,ENSG00000278915.1,chr5,140875346,140875922,-,AC005609.3,ENSG00000249158.7
2029,ENSG00000278915.1,chr5,140875346,140875922,-,AC005609.3,ENSG00000251664.5
2030,ENSG00000278901.1,chr5,140878073,140882642,-,AC005609.1,ENSG00000204970.10
2031,ENSG00000278901.1,chr5,140878073,140882642,-,AC005609.1,ENSG00000204962.6
2032,ENSG00000278901.1,chr5,140878073,140882642,-,AC005609.1,ENSG00000250120.8
2033,ENSG00000278901.1,chr5,140878073,140882642,-,AC005609.1,ENSG00000204965.9
2034,ENSG00000278901.1,chr5,140878073,140882642,-,AC005609.1,ENSG00000204967.12
2035,ENSG00000278901.1,chr5,140878073,140882642,-,AC005609.1,ENSG00000204963.6
2036,ENSG00000278901.1,chr5,140878073,140882642,-,AC005609.1,ENSG00000251664.5
2037,ENSG00000278901.1,chr5,140878073,140882642,-,AC005609.1,ENSG00000239389.8
2038,ENSG00000278901.1,chr5,140878073,140882642,-,AC005609.1,ENSG00000255408.4
2039,ENSG00000278901.1,chr5,140878073,140882642,-,AC005609.1,ENSG00000204969.7
2040,ENSG00000278901.1,chr5,140878073,140882642,-,AC005609.1,ENSG00000081842.18
2041,ENSG00000278901.1,chr5,140878073,140882642,-,AC005609.1,ENSG00000249158.7
2042,ENSG00000278901.1,chr5,140878073,140882642,-,AC005609.1,ENSG00000204961.7
2043,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000249158.7
2044,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000251664.5
2045,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000204965.9
2046,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000255408.4
2047,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000239389.8
2048,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000248383.5
2049,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000204962.6
2050,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000081842.18
2051,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000204967.12
2052,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000204963.6
2053,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000204961.7
2054,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000204970.10
2055,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000250120.8
2056,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000243232.6
2057,ENSG00000279028.1,chr5,140966212,140966490,-,AC010223.1,ENSG00000204969.7
2058,ENSG00000279047.4,chr5,141046260,141096402,-,AC244517.5,ENSG00000112852.7
2059,ENSG00000279047.4,chr5,141046260,141096402,-,AC244517.5,ENSG00000171815.6
2060,ENSG00000272154.5,chr5,141100242,141174391,-,AC244517.2,ENSG00000113212.7
2061,ENSG00000272154.5,chr5,141100242,141174391,-,AC244517.2,ENSG00000081818.4
2062,ENSG00000272154.5,chr5,141100242,141174391,-,AC244517.2,ENSG00000113209.9
2063,ENSG00000272154.5,chr5,141100242,141174391,-,AC244517.2,ENSG00000113205.5
2064,ENSG00000272154.5,chr5,141100242,141174391,-,AC244517.2,ENSG00000113211.6
2065,ENSG00000280029.4,chr5,141136683,141245380,-,AC244517.11,ENSG00000197479.7
2066,ENSG00000280029.4,chr5,141136683,141245380,-,AC244517.11,ENSG00000113209.9
2067,ENSG00000280029.4,chr5,141136683,141245380,-,AC244517.11,ENSG00000279983.1
2068,ENSG00000280029.4,chr5,141136683,141245380,-,AC244517.11,ENSG00000120328.6
2069,ENSG00000280029.4,chr5,141136683,141245380,-,AC244517.11,ENSG00000120324.9
2070,ENSG00000280029.4,chr5,141136683,141245380,-,AC244517.11,ENSG00000120322.4
2071,ENSG00000280029.4,chr5,141136683,141245380,-,AC244517.11,ENSG00000113211.6
2072,ENSG00000280029.4,chr5,141136683,141245380,-,AC244517.11,ENSG00000187372.11
2073,ENSG00000280029.4,chr5,141136683,141245380,-,AC244517.11,ENSG00000177839.7
2074,ENSG00000280029.4,chr5,141136683,141245380,-,AC244517.11,ENSG00000113212.7
2075,ENSG00000280029.4,chr5,141136683,141245380,-,AC244517.11,ENSG00000120327.7
2076,ENSG00000280029.4,chr5,141136683,141245380,-,AC244517.11,ENSG00000272674.4
2077,ENSG00000278936.1,chr5,141183401,141201396,-,AC244517.4,ENSG00000272674.4
2078,ENSG00000278936.1,chr5,141183401,141201396,-,AC244517.4,ENSG00000177839.7
2079,ENSG00000278936.1,chr5,141183401,141201396,-,AC244517.4,ENSG00000197479.7
2080,ENSG00000278936.1,chr5,141183401,141201396,-,AC244517.4,ENSG00000120324.9
2081,ENSG00000279375.1,chr5,141191599,141194088,-,AC244517.7,ENSG00000120324.9
2082,ENSG00000280026.1,chr5,141350109,141350662,-,AC005618.3,ENSG00000204956.5
2083,ENSG00000280026.1,chr5,141350109,141350662,-,AC005618.3,ENSG00000254221.2
2084,ENSG00000280026.1,chr5,141350109,141350662,-,AC005618.3,ENSG00000254245.3
2085,ENSG00000280026.1,chr5,141350109,141350662,-,AC005618.3,ENSG00000081853.15
2086,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000262576.3
2087,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000253485.2
2088,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000253537.3
2089,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000262209.3
2090,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000081853.15
2091,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000254245.3
2092,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000254122.3
2093,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000276547.1
2094,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000253953.3
2095,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000261934.2
2096,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000254221.2
2097,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000253305.2
2098,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000253846.2
2099,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000253873.6
2100,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000253767.3
2101,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000253731.3
2102,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000204956.5
2103,ENSG00000279855.1,chr5,141427295,141427752,-,AC005618.2,ENSG00000253910.2
2104,ENSG00000246422.2,chr5,141558311,141565263,+,DIAPH1-AS1,ENSG00000131504.17
2105,ENSG00000228737.2,chr5,141618414,141626481,+,AC008781.1,ENSG00000131504.17
2106,ENSG00000228737.2,chr5,141618414,141626481,+,AC008781.1,ENSG00000171720.10
2107,ENSG00000271871.1,chr5,141952419,141953375,+,AC005740.4,ENSG00000113555.6
2108,ENSG00000254099.1,chr5,141970637,141982687,-,AC005740.3,ENSG00000013561.18
2109,ENSG00000231185.7,chr5,142325293,142672001,+,SPRY4-AS1,ENSG00000187678.10
2110,ENSG00000231185.7,chr5,142325293,142672001,+,SPRY4-AS1,ENSG00000113578.18
2111,ENSG00000226272.5,chr5,142859604,142868922,-,ARHGAP26-AS1,ENSG00000145819.18
2112,ENSG00000285366.1,chr5,142946569,142947105,-,AC008533.1,ENSG00000145819.18
2113,ENSG00000279130.1,chr5,143406959,143407420,+,AC091925.1,ENSG00000113580.15
2114,ENSG00000251556.1,chr5,146099406,146120412,+,AC091887.1,ENSG00000173261.9
2115,ENSG00000251556.1,chr5,146099406,146120412,+,AC091887.1,ENSG00000133706.19
2116,ENSG00000250025.2,chr5,146307098,146376963,-,AC011396.2,ENSG00000091010.6
2117,ENSG00000250407.1,chr5,146563226,146617004,+,AC008728.1,ENSG00000156475.19
2118,ENSG00000272239.1,chr5,147401760,147401996,+,AC011373.1,ENSG00000113657.13
2119,ENSG00000280780.2,chr5,147559994,147662009,+,JAKMIP2-AS1,ENSG00000176049.16
2120,ENSG00000287630.1,chr5,147725551,147728464,+,AC011370.1,ENSG00000176049.16
2121,ENSG00000251320.1,chr5,147887112,147887704,+,AC011352.3,ENSG00000178776.5
2122,ENSG00000247199.5,chr5,148088125,148383907,-,AC011346.1,ENSG00000204909.8
2123,ENSG00000247199.5,chr5,148088125,148383907,-,AC011346.1,ENSG00000133710.16
2124,ENSG00000247199.5,chr5,148088125,148383907,-,AC011346.1,ENSG00000196800.6
2125,ENSG00000247199.5,chr5,148088125,148383907,-,AC011346.1,ENSG00000145879.11
2126,ENSG00000247199.5,chr5,148088125,148383907,-,AC011346.1,ENSG00000248109.3
2127,ENSG00000247199.5,chr5,148088125,148383907,-,AC011346.1,ENSG00000214510.10
2128,ENSG00000247199.5,chr5,148088125,148383907,-,AC011346.1,ENSG00000178172.7
2129,ENSG00000251330.3,chr5,148430159,148430807,-,AC114939.1,ENSG00000145868.17
2130,ENSG00000272411.1,chr5,148970340,148970653,+,AC116312.1,ENSG00000169247.14
2131,ENSG00000248647.2,chr5,149163955,149276776,-,AC012613.1,ENSG00000173210.20
2132,ENSG00000248647.2,chr5,149163955,149276776,-,AC012613.1,ENSG00000157510.14
2133,ENSG00000253406.1,chr5,149216523,149276805,-,AC012613.2,ENSG00000173210.20
2134,ENSG00000253406.1,chr5,149216523,149276805,-,AC012613.2,ENSG00000157510.14
2135,ENSG00000285736.1,chr5,149324220,149345333,-,AC131025.3,ENSG00000157510.14
2136,ENSG00000253618.1,chr5,149348116,149357642,-,GRPEL2-AS1,ENSG00000164284.15
2137,ENSG00000253865.1,chr5,149372174,149375116,+,AC131025.1,ENSG00000127743.6
2138,ENSG00000254333.1,chr5,150475531,150485968,-,NDST1-AS1,ENSG00000070614.15
2139,ENSG00000253852.1,chr5,150608428,150615354,-,AC011383.1,ENSG00000171992.13
2140,ENSG00000286657.1,chr5,150621007,150626779,-,AC008453.2,ENSG00000171992.13
2141,ENSG00000250309.2,chr5,150670658,150672390,-,AC008453.1,ENSG00000164591.14
2142,ENSG00000271795.1,chr5,151509453,151512769,+,AC011337.1,ENSG00000086570.12
2143,ENSG00000249035.7,chr5,151676945,151725473,+,CLMAT3,ENSG00000113140.11
2144,ENSG00000253921.1,chr5,151753992,151767247,+,AC091982.1,ENSG00000177556.12
2145,ENSG00000275765.5,chr5,151770242,151771508,-,AC091982.3,ENSG00000145907.16
2146,ENSG00000286749.1,chr5,152374998,152726160,+,AC008571.2,ENSG00000132911.5
2147,ENSG00000245275.8,chr5,154325568,154445850,-,SAP30L-AS1,ENSG00000164574.16
2148,ENSG00000286690.1,chr5,156019228,156039977,-,AC011351.1,ENSG00000170624.14
2149,ENSG00000254163.1,chr5,156704058,156739812,-,AC025434.1,ENSG00000170624.14
2150,ENSG00000254246.1,chr5,157104788,157114900,+,AC011377.1,ENSG00000135077.9
2151,ENSG00000253653.1,chr5,157260122,157266625,-,AC009185.1,ENSG00000055163.20
2152,ENSG00000251405.3,chr5,157363382,157365501,-,AC016571.1,ENSG00000055163.20
2153,ENSG00000248544.2,chr5,157375741,157384950,-,AC008676.1,ENSG00000055163.20
2154,ENSG00000253811.1,chr5,158983006,158984789,+,AC136424.2,ENSG00000164330.17
2155,ENSG00000253456.1,chr5,158985806,158987199,+,AC136424.1,ENSG00000164330.17
2156,ENSG00000253256.1,chr5,159209921,159248796,+,AC134043.2,ENSG00000145860.12
2157,ENSG00000249738.10,chr5,159310745,159805536,+,AC008691.1,ENSG00000113302.5
2158,ENSG00000247699.2,chr5,160195744,160204826,-,FABP6-AS1,ENSG00000170231.16
2159,ENSG00000253687.1,chr5,160613873,160639183,+,AC008456.1,ENSG00000118322.14
2160,ENSG00000254391.1,chr5,160685351,160692889,+,AC011363.1,ENSG00000118322.14
2161,ENSG00000253403.1,chr5,161687347,161689408,-,AC091944.1,ENSG00000145863.11
2162,ENSG00000280776.2,chr5,161907111,162001536,-,LINC01202,ENSG00000113327.17
2163,ENSG00000251018.2,chr5,163483065,163494058,-,HMMR-AS1,ENSG00000072571.20
2164,ENSG00000254187.1,chr5,167653228,167660481,-,AC008708.2,ENSG00000145934.16
2165,ENSG00000253660.1,chr5,167937717,167953469,-,AC008464.1,ENSG00000145934.16
2166,ENSG00000253925.1,chr5,168085329,168187719,-,AC011369.1,ENSG00000145934.16
2167,ENSG00000253978.2,chr5,168229583,168269415,-,CTB-178M22.2,ENSG00000145934.16
2168,ENSG00000254192.1,chr5,168654513,168667761,+,AC011365.1,ENSG00000184347.15
2169,ENSG00000254042.2,chr5,168706567,168720884,+,SLIT3-AS2,ENSG00000184347.15
2170,ENSG00000248965.1,chr5,168993000,168995677,+,AC011389.1,ENSG00000184347.15
2171,ENSG00000248222.5,chr5,169013227,169037998,+,SLIT3-AS1,ENSG00000184347.15
2172,ENSG00000253269.1,chr5,169772966,169779365,-,AC008680.1,ENSG00000134516.18
2173,ENSG00000253647.1,chr5,170389493,170422844,+,KCNIP1-OT1,ENSG00000145936.9
2174,ENSG00000253858.1,chr5,170483806,170486407,-,AC008619.1,ENSG00000182132.14
2175,ENSG00000253591.2,chr5,170639158,170681437,-,KCNIP1-AS1,ENSG00000182132.14
2176,ENSG00000253348.1,chr5,170747047,170788650,-,AC008514.1,ENSG00000094755.17
2177,ENSG00000275038.2,chr5,171305980,171309777,-,AC091980.2,ENSG00000164438.6
2178,ENSG00000253445.1,chr5,172690454,172697720,-,AC027309.1,ENSG00000214357.9
2179,ENSG00000253736.3,chr5,172762980,172782334,+,AC022217.3,ENSG00000120129.6
2180,ENSG00000204758.8,chr5,172954786,172959392,-,AC008429.1,ENSG00000037241.7
2181,ENSG00000253172.1,chr5,173144162,173145039,-,AC008378.1,ENSG00000113734.18
2182,ENSG00000253447.6,chr5,174081506,174086618,-,AC113423.2,ENSG00000170091.11
2183,ENSG00000250801.2,chr5,175972606,175987666,+,THOC3-AS1,ENSG00000051596.10
2184,ENSG00000248469.1,chr5,176049678,176062021,-,AC139491.1,ENSG00000182230.12
2185,ENSG00000251458.1,chr5,176124210,176131461,-,AC139491.4,ENSG00000285476.1
2186,ENSG00000250909.1,chr5,176347941,176353584,+,AC138956.1,ENSG00000122203.15
2187,ENSG00000251414.1,chr5,176354206,176356168,+,AC138956.2,ENSG00000122203.15
2188,ENSG00000246334.2,chr5,177438503,177447699,-,PRR7-AS1,ENSG00000198055.11
2189,ENSG00000246334.2,chr5,177438503,177447699,-,PRR7-AS1,ENSG00000131188.12
2190,ENSG00000248996.1,chr5,177494995,177503647,+,AC145098.1,ENSG00000196923.14
2191,ENSG00000248996.1,chr5,177494995,177503647,+,AC145098.1,ENSG00000146094.16
2192,ENSG00000249849.1,chr5,177682294,177713969,+,AC138819.1,ENSG00000170074.19
2193,ENSG00000249109.1,chr5,177782197,177794396,+,AC140125.2,ENSG00000170074.19
2194,ENSG00000253698.1,chr5,178350867,178352250,+,AC136601.1,ENSG00000050767.18
2195,ENSG00000254035.1,chr5,178969390,178990116,+,AC104117.3,ENSG00000113262.16
2196,ENSG00000244945.1,chr5,179595904,179603741,-,RUFY1-AS1,ENSG00000176783.15
2197,ENSG00000245317.2,chr5,179859013,179861283,+,AC008393.1,ENSG00000161010.15
2198,ENSG00000249412.1,chr5,179963615,179964419,+,AC010285.1,ENSG00000113269.14
2199,ENSG00000285865.1,chr5,179974584,179980186,+,AC010285.3,ENSG00000113269.14
2200,ENSG00000280161.1,chr5,180810401,180811384,+,AC022413.1,ENSG00000131446.17
2201,ENSG00000250222.2,chr5,181191875,181194429,+,AC008443.4,ENSG00000146054.18
2202,ENSG00000250900.6,chr5,181195496,181203103,+,TRIM7-AS1,ENSG00000146054.18
2203,ENSG00000247049.2,chr5,181224646,181230685,-,AC008443.1,ENSG00000146063.20
2204,ENSG00000233937.7,chr5,181246507,181272167,+,CTC-338M12.4,ENSG00000204628.12
2205,ENSG00000233937.7,chr5,181246507,181272167,+,CTC-338M12.4,ENSG00000183718.5
2206,ENSG00000287265.1,chr6,285443,292013,-,AL365272.1,ENSG00000112679.14
2207,ENSG00000271727.2,chr6,692530,796781,+,AL357054.2,ENSG00000112685.14
2208,ENSG00000285603.1,chr6,2227803,2230261,+,AL035693.1,ENSG00000112699.11
2209,ENSG00000224846.3,chr6,2989335,2999604,-,NQO2-AS1,ENSG00000124588.22
2210,ENSG00000272277.1,chr6,3068045,3068894,-,AL031963.3,ENSG00000137275.16
2211,ENSG00000228170.1,chr6,3138394,3153062,-,AL031963.1,ENSG00000137274.13
2212,ENSG00000272320.1,chr6,3311662,3313650,+,AL445309.1,ENSG00000137266.15
2213,ENSG00000270504.1,chr6,3751111,3753871,+,AL391422.4,ENSG00000168994.14
2214,ENSG00000254821.1,chr6,4135423,4146053,+,AL136309.3,ENSG00000198721.13
2215,ENSG00000284823.1,chr6,4714098,4724885,-,AL356747.1,ENSG00000153046.18
2216,ENSG00000236336.1,chr6,4774526,4775408,-,CDYL-AS1,ENSG00000153046.18
2217,ENSG00000272142.4,chr6,5003774,5045666,+,LYRM4-AS1,ENSG00000124787.14
2218,ENSG00000269985.1,chr6,5451683,5458075,-,AL021328.1,ENSG00000145982.13
2219,ENSG00000270174.1,chr6,5664985,5695272,-,AL022097.1,ENSG00000145982.13
2220,ENSG00000216863.10,chr6,6346465,6622771,-,LY86-AS1,ENSG00000112799.9
2221,ENSG00000238221.1,chr6,7276031,7298872,+,AL139095.4,ENSG00000124783.14
2222,ENSG00000285216.1,chr6,8158162,8760447,+,AL355499.2,ENSG00000124786.12
2223,ENSG00000285278.1,chr6,10404502,10407928,+,TFAP2A-AS2,ENSG00000137203.15
2224,ENSG00000229950.1,chr6,10409340,10416446,+,TFAP2A-AS1,ENSG00000137203.15
2225,ENSG00000237685.1,chr6,10511036,10514546,-,AL139039.3,ENSG00000111846.19
2226,ENSG00000285763.1,chr6,10659498,10692860,+,AL358777.1,ENSG00000137434.11
2227,ENSG00000235051.3,chr6,10881780,10884349,+,AL357497.1,ENSG00000124827.7
2228,ENSG00000230314.7,chr6,11043482,11079154,+,ELOVL2-AS1,ENSG00000197977.4
2229,ENSG00000247925.2,chr6,11173452,11259099,+,AL139807.1,ENSG00000111859.17
2230,ENSG00000287920.1,chr6,11291299,11296224,+,AL022098.1,ENSG00000111859.17
2231,ENSG00000287593.1,chr6,11722547,11731923,+,AL022724.3,ENSG00000111863.13
2232,ENSG00000215022.7,chr6,13264861,13295586,-,AL008729.1,ENSG00000112137.18
2233,ENSG00000237786.1,chr6,13486294,13486852,+,GFOD1-AS1,ENSG00000145990.11
2234,ENSG00000261071.1,chr6,13614111,13615155,-,AL441883.1,ENSG00000124523.17
2235,ENSG00000286316.1,chr6,13671720,13678908,+,Z93020.1,ENSG00000010017.13
2236,ENSG00000235488.1,chr6,15247815,15248634,-,JARID2-AS1,ENSG00000008083.14
2237,ENSG00000287626.1,chr6,15555780,15559980,+,AL021978.1,ENSG00000047579.20
2238,ENSG00000282024.1,chr6,16259101,16264553,-,AL009031.1,ENSG00000137198.10
2239,ENSG00000229931.1,chr6,16761138,16762652,+,ATXN1-AS1,ENSG00000124788.19
2240,ENSG00000287359.1,chr6,17092714,17108156,-,AL138740.1,ENSG00000230873.9
2241,ENSG00000287559.1,chr6,17224243,17281424,-,AL136305.1,ENSG00000112183.15
2242,ENSG00000272269.1,chr6,17706257,17707344,+,NUP153-AS1,ENSG00000124789.12
2243,ENSG00000228412.9,chr6,19323428,19839080,-,LNC-LBCS,ENSG00000172201.12
2244,ENSG00000227803.2,chr6,20212087,20317739,+,AL158198.1,ENSG00000172197.11
2245,ENSG00000233848.1,chr6,20756103,20800694,-,AL513188.1,ENSG00000145996.11
2246,ENSG00000283480.1,chr6,21528739,21595593,-,AL512380.2,ENSG00000124766.7
2247,ENSG00000272168.8,chr6,21664185,22654455,+,CASC15,ENSG00000172179.12
2248,ENSG00000272345.1,chr6,24700907,24701793,-,AL031775.1,ENSG00000112304.11
2249,ENSG00000272402.1,chr6,24706747,24707151,+,AL031775.2,ENSG00000112308.13
2250,ENSG00000286633.1,chr6,25012985,25015696,+,AL160400.1,ENSG00000111913.20
2251,ENSG00000229313.1,chr6,25041839,25056664,+,AL133268.3,ENSG00000111913.20
2252,ENSG00000272558.1,chr6,25983812,25999167,-,U91328.2,ENSG00000112343.11
2253,ENSG00000283064.1,chr6,26160765,26172802,-,AL353759.1,ENSG00000158373.8
2254,ENSG00000283064.1,chr6,26160765,26172802,-,AL353759.1,ENSG00000274290.3
2255,ENSG00000285849.1,chr6,27454568,27457575,+,AL021918.4,ENSG00000096654.15
2256,ENSG00000269293.3,chr6,28015122,28137293,-,ZSCAN16-AS1,ENSG00000196812.5
2257,ENSG00000269293.3,chr6,28015122,28137293,-,ZSCAN16-AS1,ENSG00000197279.4
2258,ENSG00000272009.1,chr6,28078792,28081130,-,AL121944.1,ENSG00000197279.4
2259,ENSG00000246350.1,chr6,28587378,28591747,+,AL049543.1,ENSG00000232040.4
2260,ENSG00000214922.9,chr6,29726601,29749049,-,HLA-F-AS1,ENSG00000204642.14
2261,ENSG00000231226.1,chr6,30105240,30114724,+,TRIM31-AS1,ENSG00000204616.11
2262,ENSG00000231074.9,chr6,30286690,30327382,-,HCG18,ENSG00000204599.14
2263,ENSG00000224328.1,chr6,30703067,30713184,+,MDC1-AS1,ENSG00000137337.15
2264,ENSG00000272540.1,chr6,30723105,30723877,-,AL662797.1,ENSG00000196230.14
2265,ENSG00000272273.1,chr6,30742929,30743592,+,IER3-AS1,ENSG00000137331.12
2266,ENSG00000228022.6,chr6,30743790,30792250,+,HCG20,ENSG00000137331.12
2267,ENSG00000233529.1,chr6,30945979,30954862,-,HCG21,ENSG00000168631.13
2268,ENSG00000286940.1,chr6,31479973,31494935,-,MICB-DT,ENSG00000204516.10
2269,ENSG00000234006.1,chr6,31542304,31543138,+,DDX39B-AS1,ENSG00000198563.14
2270,ENSG00000227198.1,chr6,31658329,31660721,+,C6orf47-AS1,ENSG00000204439.4
2271,ENSG00000235663.1,chr6,31764310,31765588,-,SAPCD1-AS1,ENSG00000255152.8
2272,ENSG00000235663.1,chr6,31764310,31765588,-,SAPCD1-AS1,ENSG00000228727.9
2273,ENSG00000237080.3,chr6,31877808,31884204,+,EHMT2-AS1,ENSG00000204371.11
2274,ENSG00000237080.3,chr6,31877808,31884204,+,EHMT2-AS1,ENSG00000204385.13
2275,ENSG00000281756.1,chr6,31934474,31941724,-,C2-AS1,ENSG00000166278.15
2276,ENSG00000229776.1,chr6,32032713,32036258,-,C4B-AS1,ENSG00000224389.9
2277,ENSG00000286974.1,chr6,32108406,32112849,+,AL662884.5,ENSG00000168477.19
2278,ENSG00000284954.1,chr6,32152802,32154365,-,AL662884.3,ENSG00000221988.13
2279,ENSG00000284954.1,chr6,32152802,32154365,-,AL662884.3,ENSG00000258388.7
2280,ENSG00000225914.3,chr6,32254640,32407763,+,TSBP1-AS1,ENSG00000204296.12
2281,ENSG00000225914.3,chr6,32254640,32407763,+,TSBP1-AS1,ENSG00000204290.10
2282,ENSG00000223534.1,chr6,32659880,32660729,+,HLA-DQB1-AS1,ENSG00000179344.16
2283,ENSG00000204261.9,chr6,32844078,32846500,+,PSMB8-AS1,ENSG00000168394.12
2284,ENSG00000204261.9,chr6,32844078,32846500,+,PSMB8-AS1,ENSG00000204264.12
2285,ENSG00000263756.1,chr6,32972065,32972853,-,AL645941.3,ENSG00000204256.14
2286,ENSG00000232940.6,chr6,33249534,33255167,+,HCG25,ENSG00000223501.9
2287,ENSG00000274259.2,chr6,33437363,33454453,-,SYNGAP1-AS1,ENSG00000213588.6
2288,ENSG00000274259.2,chr6,33437363,33454453,-,SYNGAP1-AS1,ENSG00000197283.17
2289,ENSG00000287089.1,chr6,33800142,33802960,+,AL138889.3,ENSG00000096395.11
2290,ENSG00000225339.4,chr6,34248535,34286768,+,AL354740.1,ENSG00000272325.2
2291,ENSG00000225339.4,chr6,34248535,34286768,+,AL354740.1,ENSG00000186577.14
2292,ENSG00000272288.6,chr6,34696317,34697470,+,ILRUN-AS1,ENSG00000196821.10
2293,ENSG00000286550.1,chr6,35041116,35058015,-,AL591002.1,ENSG00000064999.15
2294,ENSG00000272374.1,chr6,35220370,35224630,-,Z97832.2,ENSG00000146197.9
2295,ENSG00000287458.1,chr6,35650997,35652856,+,AL033519.5,ENSG00000096060.15
2296,ENSG00000246982.7,chr6,36146698,36197205,-,Z84485.1,ENSG00000096070.19
2297,ENSG00000224666.3,chr6,36386831,36393462,+,ETV7-AS1,ENSG00000179165.11
2298,ENSG00000224666.3,chr6,36386831,36393462,+,ETV7-AS1,ENSG00000010030.14
2299,ENSG00000285244.1,chr6,36677609,36678559,-,DINOL,ENSG00000124762.14
2300,ENSG00000285888.1,chr6,36768485,36774651,+,Z85996.2,ENSG00000124772.12
2301,ENSG00000226533.1,chr6,38481692,38482531,+,BTBD9-AS1,ENSG00000183826.18
2302,ENSG00000231150.5,chr6,38923029,38953099,-,DNAH8-AS1,ENSG00000124721.18
2303,ENSG00000235033.7,chr6,39881804,39900071,-,DAAM2-AS1,ENSG00000146122.17
2304,ENSG00000287678.1,chr6,41080624,41101056,-,AL031778.1,ENSG00000001167.14
2305,ENSG00000234753.5,chr6,41494853,41548621,-,FOXP4-AS1,ENSG00000137166.17
2306,ENSG00000231102.1,chr6,41720396,41734032,+,AL035588.1,ENSG00000112561.19
2307,ENSG00000268745.1,chr6,41791410,41791477,+,AL365205.3,ENSG00000164663.14
2308,ENSG00000227516.1,chr6,41868622,41869731,+,AL160163.1,ENSG00000164663.14
2309,ENSG00000223946.1,chr6,42030053,42031382,+,AL513008.1,ENSG00000112576.13
2310,ENSG00000287825.1,chr6,42928287,42929457,-,AL035587.2,ENSG00000137161.17
2311,ENSG00000272223.1,chr6,43033897,43034405,-,AL136304.1,ENSG00000124541.7
2312,ENSG00000272170.1,chr6,43074331,43074739,-,AL355385.1,ENSG00000137171.15
2313,ENSG00000245261.1,chr6,43213801,43223860,-,AL133375.1,ENSG00000112659.14
2314,ENSG00000271754.1,chr6,43519180,43519724,-,AL355802.3,ENSG00000171453.20
2315,ENSG00000203362.2,chr6,43588230,43591362,-,POLH-AS1,ENSG00000170734.12
2316,ENSG00000272114.1,chr6,43770429,43770616,-,AL136131.3,ENSG00000112715.25
2317,ENSG00000286417.1,chr6,44727921,44830188,+,AL133334.1,ENSG00000196284.17
2318,ENSG00000271857.1,chr6,45421079,45422005,-,AL096865.1,ENSG00000124813.23
2319,ENSG00000261080.1,chr6,45573346,45576770,-,RUNX2-AS1,ENSG00000124813.23
2320,ENSG00000236466.2,chr6,46492052,46606162,+,AL035670.1,ENSG00000146233.8
2321,ENSG00000242973.6,chr6,46670444,46688165,-,AL591242.1,ENSG00000153291.16
2322,ENSG00000242973.6,chr6,46670444,46688165,-,AL591242.1,ENSG00000180113.16
