Supplemental Table 5: ncNATs tissue association.,,,
gene_id,gene_name,tissue,type
ENSG00000254906.1,AC090707.1,Brain_Normal,group_enriched
ENSG00000254921.1,AC116456.1,Brain_Normal,group_enriched
ENSG00000255101.1,AC103843.1,Brain_Normal,group_enriched
ENSG00000256196.2,AP003721.1,Brain_Normal,group_enriched
ENSG00000256306.1,AC007527.1,Brain_Normal,group_enriched
ENSG00000261329.6,AC016597.1,Brain_Normal,group_enriched
ENSG00000262296.1,AC118755.1,Brain_Normal,group_enriched
ENSG00000263571.3,AC004147.2,Brain_Normal,group_enriched
ENSG00000264513.1,AC006270.1,Brain_Normal,group_enriched
ENSG00000265126.1,AC004448.3,Brain_Normal,group_enriched
ENSG00000265179.7,AP000894.2,Brain_Normal,group_enriched
ENSG00000268055.1,AC067969.1,Brain_Normal,group_enriched
ENSG00000268191.1,AC010503.1,Brain_Normal,group_enriched
ENSG00000286159.1,AL035106.1,Brain_Normal,group_enriched
ENSG00000286755.1,AC135893.1,Brain_Normal,group_enriched
ENSG00000286757.2,AL137139.2,Brain_Normal,group_enriched
ENSG00000287243.2,THCAT155,Brain_Normal,group_enriched
ENSG00000288271.1,AL136981.4,Brain_Normal,group_enriched
ENSG00000288581.1,AL137139.3,Brain_Normal,group_enriched
LOC105372036,NA,Brain_Normal,group_enriched
LOC105375716,NA,Brain_Normal,group_enriched
LOC105376611,NA,Brain_Normal,group_enriched
LOC107986578,NA,Brain_Normal,group_enriched
LOC124902656,NA,Brain_Normal,group_enriched
LOC124902895,NA,Brain_Normal,group_enriched
LOC124909362,NA,Brain_Normal,group_enriched
MSTRG.SL.chr1.245,NA,Brain_Normal,group_enriched
MSTRG.SL.chr2.76,NA,Brain_Normal,group_enriched
MSTRG.SL.chr21.6,NA,Brain_Normal,group_enriched
MSTRG.SL.chr6.61,NA,Brain_Normal,group_enriched
MSTRG.SL.chr8.56,NA,Brain_Normal,group_enriched
NONHSAG005315.3,NA,Brain_Normal,group_enriched
NONHSAG032629.2,NA,Brain_Normal,group_enriched
NONHSAG034743.3,NA,Brain_Normal,group_enriched
NONHSAG043036.2,NA,Brain_Normal,group_enriched
NONHSAG049022.2,NA,Brain_Normal,group_enriched
NONHSAG057364.1,NA,Brain_Normal,group_enriched
NONHSAG067248.1,NA,Brain_Normal,group_enriched
NONHSAG074663.1,NA,Brain_Normal,group_enriched
NONHSAG077965.1,NA,Brain_Normal,group_enriched
NONHSAG079363.1,NA,Brain_Normal,group_enriched
NONHSAG079369.1,NA,Brain_Normal,group_enriched
NONHSAG090331.1,NA,Brain_Normal,group_enriched
NONHSAG106663.1,NA,Brain_Normal,group_enriched
NONHSAG109577.1,NA,Brain_Normal,group_enriched
ENSG00000152931.9,PART1,Brain_Normal,group_enhanced
ENSG00000184385.2,UMODL1-AS1,Brain_Normal,group_enhanced
ENSG00000197934.8,CYYR1-AS1,Brain_Normal,group_enhanced
ENSG00000203809.7,LIN28B-AS1,Brain_Normal,group_enhanced
ENSG00000203900.2,AL121827.1,Brain_Normal,group_enhanced
ENSG00000203930.12,LINC00632,Brain_Normal,group_enhanced
ENSG00000214353.8,VAC14-AS1,Brain_Normal,group_enhanced
ENSG00000216863.10,LY86-AS1,Brain_Normal,group_enhanced
ENSG00000223548.1,ACSL6-AS1,Brain_Normal,group_enhanced
ENSG00000223669.1,AL357033.2,Brain_Normal,group_enhanced
ENSG00000223930.7,AC117453.1,Brain_Normal,group_enhanced
ENSG00000223989.1,AL357140.1,Brain_Normal,group_enhanced
ENSG00000224078.15,SNHG14,Brain_Normal,group_enhanced
ENSG00000224116.7,INHBA-AS1,Brain_Normal,group_enhanced
ENSG00000224204.1,PHEX-AS1,Brain_Normal,group_enhanced
ENSG00000224218.1,AC107072.1,Brain_Normal,group_enhanced
ENSG00000224272.2,AC131097.2,Brain_Normal,group_enhanced
ENSG00000224318.6,CHL1-AS2,Brain_Normal,group_enhanced
ENSG00000224509.2,MRPS9-AS2,Brain_Normal,group_enhanced
ENSG00000224541.1,AP001439.1,Brain_Normal,group_enhanced
ENSG00000224825.2,RORB-AS1,Brain_Normal,group_enhanced
ENSG00000225106.1,AL162457.2,Brain_Normal,group_enhanced
ENSG00000225675.2,LINC01771,Brain_Normal,group_enhanced
ENSG00000225706.2,PTPRD-AS1,Brain_Normal,group_enhanced
ENSG00000225792.2,AC004540.2,Brain_Normal,group_enhanced
ENSG00000225877.1,PSG8-AS1,Brain_Normal,group_enhanced
ENSG00000225953.3,SATB2-AS1,Brain_Normal,group_enhanced
ENSG00000226709.1,FGF12-AS3,Brain_Normal,group_enhanced
ENSG00000226746.2,SMCR5,Brain_Normal,group_enhanced
ENSG00000226925.1,IL1R1-AS1,Brain_Normal,group_enhanced
ENSG00000227110.7,LMCD1-AS1,Brain_Normal,group_enhanced
ENSG00000227165.9,WDR11-AS1,Brain_Normal,group_enhanced
ENSG00000227432.1,ASIC4-AS1,Brain_Normal,group_enhanced
ENSG00000227640.3,SOX21-AS1,Brain_Normal,group_enhanced
ENSG00000227757.3,AP000282.1,Brain_Normal,group_enhanced
ENSG00000227811.3,INKA2-AS1,Brain_Normal,group_enhanced
ENSG00000227906.8,SNAP25-AS1,Brain_Normal,group_enhanced
ENSG00000228203.7,GRASLND,Brain_Normal,group_enhanced
ENSG00000228484.3,AL137025.1,Brain_Normal,group_enhanced
ENSG00000228624.7,HDAC2-AS2,Brain_Normal,group_enhanced
ENSG00000229044.1,AL451070.1,Brain_Normal,group_enhanced
ENSG00000229533.1,AC003986.1,Brain_Normal,group_enhanced
ENSG00000229588.2,AL596087.2,Brain_Normal,group_enhanced
ENSG00000229797.2,AC140481.1,Brain_Normal,group_enhanced
ENSG00000230126.1,FGF12-AS2,Brain_Normal,group_enhanced
ENSG00000230385.1,AC012507.1,Brain_Normal,group_enhanced
ENSG00000231252.3,AC099792.1,Brain_Normal,group_enhanced
ENSG00000231609.7,AC007098.1,Brain_Normal,group_enhanced
ENSG00000231689.2,LINC01090,Brain_Normal,group_enhanced
ENSG00000231691.2,AL592114.3,Brain_Normal,group_enhanced
ENSG00000231758.3,ARHGAP15-AS1,Brain_Normal,group_enhanced
ENSG00000232006.9,AC005537.1,Brain_Normal,group_enhanced
ENSG00000233067.4,PTCHD1-AS,Brain_Normal,group_enhanced
ENSG00000233073.2,GRM3-AS1,Brain_Normal,group_enhanced
ENSG00000233175.2,AC008105.1,Brain_Normal,group_enhanced
ENSG00000233334.3,FAM53B-AS1,Brain_Normal,group_enhanced
ENSG00000233885.7,YEATS2-AS1,Brain_Normal,group_enhanced
ENSG00000233928.6,AL591501.1,Brain_Normal,group_enhanced
ENSG00000233930.4,KRTAP5-AS1,Brain_Normal,group_enhanced
ENSG00000235010.1,AL512622.1,Brain_Normal,group_enhanced
ENSG00000235026.6,DPP10-AS1,Brain_Normal,group_enhanced
ENSG00000235051.3,AL357497.1,Brain_Normal,group_enhanced
ENSG00000235237.1,Z82188.2,Brain_Normal,group_enhanced
ENSG00000235296.1,AC145207.1,Brain_Normal,group_enhanced
ENSG00000235361.1,AC016292.1,Brain_Normal,group_enhanced
ENSG00000235934.2,AC007405.2,Brain_Normal,group_enhanced
ENSG00000236107.10,SCN1A-AS1,Brain_Normal,group_enhanced
ENSG00000236508.1,ATP13A5-AS1,Brain_Normal,group_enhanced
ENSG00000236841.8,AC007750.1,Brain_Normal,group_enhanced
ENSG00000237337.1,ELAVL4-AS1,Brain_Normal,group_enhanced
ENSG00000237505.8,PKN2-AS1,Brain_Normal,group_enhanced
ENSG00000237640.1,AC004522.3,Brain_Normal,group_enhanced
ENSG00000237786.1,GFOD1-AS1,Brain_Normal,group_enhanced
ENSG00000240086.7,AC092969.1,Brain_Normal,group_enhanced
ENSG00000242242.6,NECTIN3-AS1,Brain_Normal,group_enhanced
ENSG00000242686.4,PDE6B-AS1,Brain_Normal,group_enhanced
ENSG00000242791.2,AC117395.1,Brain_Normal,group_enhanced
ENSG00000243069.8,ARHGEF26-AS1,Brain_Normal,group_enhanced
ENSG00000244128.7,LINC01322,Brain_Normal,group_enhanced
ENSG00000244558.6,KCNK15-AS1,Brain_Normal,group_enhanced
ENSG00000244757.1,AL137024.1,Brain_Normal,group_enhanced
ENSG00000245293.3,CYP2U1-AS1,Brain_Normal,group_enhanced
ENSG00000246323.2,AC113382.1,Brain_Normal,group_enhanced
ENSG00000247416.4,AP000802.1,Brain_Normal,group_enhanced
ENSG00000248540.3,AC010931.1,Brain_Normal,group_enhanced
ENSG00000248714.7,AC091180.2,Brain_Normal,group_enhanced
ENSG00000249207.2,AC079921.1,Brain_Normal,group_enhanced
ENSG00000249421.2,ADAMTS19-AS1,Brain_Normal,group_enhanced
ENSG00000249453.1,AC092834.1,Brain_Normal,group_enhanced
ENSG00000249738.10,AC008691.1,Brain_Normal,group_enhanced
ENSG00000250007.7,AC087457.1,Brain_Normal,group_enhanced
ENSG00000250091.3,DNAH10OS,Brain_Normal,group_enhanced
ENSG00000250107.1,CACNA1G-AS1,Brain_Normal,group_enhanced
ENSG00000250137.1,AC093607.1,Brain_Normal,group_enhanced
ENSG00000250260.1,AC113382.2,Brain_Normal,group_enhanced
ENSG00000250603.1,AC068658.1,Brain_Normal,group_enhanced
ENSG00000250761.2,AC093305.1,Brain_Normal,group_enhanced
ENSG00000250846.6,EPHA5-AS1,Brain_Normal,group_enhanced
ENSG00000251075.2,HTT-AS,Brain_Normal,group_enhanced
ENSG00000253477.5,AC012213.1,Brain_Normal,group_enhanced
ENSG00000253535.5,AC120193.1,Brain_Normal,group_enhanced
ENSG00000253596.1,AC103952.1,Brain_Normal,group_enhanced
ENSG00000253618.1,GRPEL2-AS1,Brain_Normal,group_enhanced
ENSG00000253741.2,LNCOC1,Brain_Normal,group_enhanced
ENSG00000253973.3,AC079296.1,Brain_Normal,group_enhanced
ENSG00000254003.1,SRI-AS1,Brain_Normal,group_enhanced
ENSG00000254391.1,AC011363.1,Brain_Normal,group_enhanced
ENSG00000254563.1,AP002768.1,Brain_Normal,group_enhanced
ENSG00000255136.3,AP001972.3,Brain_Normal,group_enhanced
ENSG00000255856.2,AC069503.1,Brain_Normal,group_enhanced
ENSG00000255929.5,AP000943.2,Brain_Normal,group_enhanced
ENSG00000256008.3,AC125616.1,Brain_Normal,group_enhanced
ENSG00000256481.1,AP006333.2,Brain_Normal,group_enhanced
ENSG00000256577.2,SLC6A12-AS1,Brain_Normal,group_enhanced
ENSG00000256824.1,AP000721.2,Brain_Normal,group_enhanced
ENSG00000256943.1,AC148477.3,Brain_Normal,group_enhanced
ENSG00000257241.1,AC078922.1,Brain_Normal,group_enhanced
ENSG00000257258.2,AC012150.1,Brain_Normal,group_enhanced
ENSG00000257319.1,AC008127.1,Brain_Normal,group_enhanced
ENSG00000257545.5,AC079385.1,Brain_Normal,group_enhanced
ENSG00000257657.3,AC079950.1,Brain_Normal,group_enhanced
ENSG00000257918.1,AC079385.3,Brain_Normal,group_enhanced
ENSG00000258283.1,AC011603.3,Brain_Normal,group_enhanced
ENSG00000258520.1,AL359317.1,Brain_Normal,group_enhanced
ENSG00000258757.1,AL133453.1,Brain_Normal,group_enhanced
ENSG00000258871.1,AC004828.1,Brain_Normal,group_enhanced
ENSG00000259037.1,BX927359.1,Brain_Normal,group_enhanced
ENSG00000259235.2,AC066612.1,Brain_Normal,group_enhanced
ENSG00000259462.3,CPEB1-AS1,Brain_Normal,group_enhanced
ENSG00000260617.1,AC138028.5,Brain_Normal,group_enhanced
ENSG00000261033.1,AC005730.2,Brain_Normal,group_enhanced
ENSG00000261195.1,AC027130.1,Brain_Normal,group_enhanced
ENSG00000261570.2,AC073878.1,Brain_Normal,group_enhanced
ENSG00000263724.2,DLGAP1-AS3,Brain_Normal,group_enhanced
ENSG00000263873.1,THY1-AS1,Brain_Normal,group_enhanced
ENSG00000264449.6,AP001021.1,Brain_Normal,group_enhanced
ENSG00000264589.4,MAPT-AS1,Brain_Normal,group_enhanced
ENSG00000265168.1,AC005726.3,Brain_Normal,group_enhanced
ENSG00000265487.1,AP001021.2,Brain_Normal,group_enhanced
ENSG00000266718.2,AC079336.5,Brain_Normal,group_enhanced
ENSG00000267077.1,AC020663.2,Brain_Normal,group_enhanced
ENSG00000267092.2,AC027307.1,Brain_Normal,group_enhanced
ENSG00000267251.2,AC139100.1,Brain_Normal,group_enhanced
ENSG00000267628.1,AC104423.1,Brain_Normal,group_enhanced
ENSG00000267750.6,RUNDC3A-AS1,Brain_Normal,group_enhanced
ENSG00000267784.1,AC010680.1,Brain_Normal,group_enhanced
ENSG00000268677.1,AC011495.3,Brain_Normal,group_enhanced
ENSG00000269053.1,AC010319.3,Brain_Normal,group_enhanced
ENSG00000269139.2,AC010336.5,Brain_Normal,group_enhanced
ENSG00000269425.1,AC104521.1,Brain_Normal,group_enhanced
ENSG00000269935.1,AC092720.2,Brain_Normal,group_enhanced
ENSG00000270112.4,AC090241.2,Brain_Normal,group_enhanced
ENSG00000270171.1,AL359881.3,Brain_Normal,group_enhanced
ENSG00000270207.2,AC077690.1,Brain_Normal,group_enhanced
ENSG00000270607.1,AC009549.1,Brain_Normal,group_enhanced
ENSG00000270953.1,AC007938.3,Brain_Normal,group_enhanced
ENSG00000271228.1,AL121655.1,Brain_Normal,group_enhanced
ENSG00000271474.1,AC106881.1,Brain_Normal,group_enhanced
ENSG00000271614.1,ATP2B1-AS1,Brain_Normal,group_enhanced
ENSG00000271714.1,AC010501.2,Brain_Normal,group_enhanced
ENSG00000271727.2,AL357054.2,Brain_Normal,group_enhanced
ENSG00000272163.1,AF106564.1,Brain_Normal,group_enhanced
ENSG00000272239.1,AC011373.1,Brain_Normal,group_enhanced
ENSG00000272249.1,AP003117.2,Brain_Normal,group_enhanced
ENSG00000272457.1,AC113194.1,Brain_Normal,group_enhanced
ENSG00000272865.2,AL591686.2,Brain_Normal,group_enhanced
ENSG00000272973.1,AP000350.5,Brain_Normal,group_enhanced
ENSG00000273108.1,AL121929.2,Brain_Normal,group_enhanced
ENSG00000273233.1,AC097724.1,Brain_Normal,group_enhanced
ENSG00000273267.1,AC097381.3,Brain_Normal,group_enhanced
ENSG00000273312.2,AL121749.1,Brain_Normal,group_enhanced
ENSG00000273492.6,APP-DT,Brain_Normal,group_enhanced
ENSG00000274996.1,AC006449.1,Brain_Normal,group_enhanced
ENSG00000275278.1,AC012150.2,Brain_Normal,group_enhanced
ENSG00000275620.1,FLJ16779,Brain_Normal,group_enhanced
ENSG00000275672.1,AC025580.3,Brain_Normal,group_enhanced
ENSG00000276663.1,AC009090.3,Brain_Normal,group_enhanced
ENSG00000277182.1,AC006449.5,Brain_Normal,group_enhanced
ENSG00000277935.1,AC007527.2,Brain_Normal,group_enhanced
ENSG00000277954.1,AC092376.2,Brain_Normal,group_enhanced
ENSG00000278722.1,AL445288.1,Brain_Normal,group_enhanced
ENSG00000278946.1,AC005609.4,Brain_Normal,group_enhanced
ENSG00000278969.1,AC026310.2,Brain_Normal,group_enhanced
ENSG00000278995.1,Z69720.2,Brain_Normal,group_enhanced
ENSG00000279619.1,AC020907.5,Brain_Normal,group_enhanced
ENSG00000279726.2,AC005609.5,Brain_Normal,group_enhanced
ENSG00000280046.1,AC104581.4,Brain_Normal,group_enhanced
ENSG00000280798.1,LINC00294,Brain_Normal,group_enhanced
ENSG00000282943.1,AC004784.1,Brain_Normal,group_enhanced
ENSG00000283415.2,AC087280.2,Brain_Normal,group_enhanced
ENSG00000284966.3,AL138689.2,Brain_Normal,group_enhanced
ENSG00000285051.2,SLC7A14-AS1,Brain_Normal,group_enhanced
ENSG00000285081.1,AC004593.1,Brain_Normal,group_enhanced
ENSG00000285367.1,AC087564.1,Brain_Normal,group_enhanced
ENSG00000285454.1,AC111006.1,Brain_Normal,group_enhanced
ENSG00000285600.1,AC023593.1,Brain_Normal,group_enhanced
ENSG00000285758.2,AC036214.4,Brain_Normal,group_enhanced
ENSG00000285847.2,AL713852.1,Brain_Normal,group_enhanced
ENSG00000285885.1,AC092058.1,Brain_Normal,group_enhanced
ENSG00000285918.1,AC092376.3,Brain_Normal,group_enhanced
ENSG00000285973.2,AC063960.2,Brain_Normal,group_enhanced
ENSG00000286125.1,AC006115.2,Brain_Normal,group_enhanced
ENSG00000286176.2,AC116317.1,Brain_Normal,group_enhanced
ENSG00000286273.1,AC078816.1,Brain_Normal,group_enhanced
ENSG00000286695.1,AC026316.5,Brain_Normal,group_enhanced
ENSG00000286749.1,AC008571.2,Brain_Normal,group_enhanced
ENSG00000286776.1,AC093610.1,Brain_Normal,group_enhanced
ENSG00000286794.1,Z70719.1,Brain_Normal,group_enhanced
ENSG00000286847.1,AC007036.5,Brain_Normal,group_enhanced
ENSG00000286948.1,AP000867.5,Brain_Normal,group_enhanced
ENSG00000286970.1,AC010491.2,Brain_Normal,group_enhanced
ENSG00000287012.1,AC108667.2,Brain_Normal,group_enhanced
ENSG00000287299.1,AC012459.1,Brain_Normal,group_enhanced
ENSG00000287373.1,AL122014.1,Brain_Normal,group_enhanced
ENSG00000287401.1,AC034139.1,Brain_Normal,group_enhanced
ENSG00000287558.1,AL109933.5,Brain_Normal,group_enhanced
ENSG00000287631.1,AC005071.1,Brain_Normal,group_enhanced
ENSG00000287705.1,AL139232.1,Brain_Normal,group_enhanced
ENSG00000287743.1,AL031289.2,Brain_Normal,group_enhanced
ENSG00000287757.1,AC244636.3,Brain_Normal,group_enhanced
ENSG00000287914.1,AL078582.2,Brain_Normal,group_enhanced
ENSG00000288011.1,AC024597.1,Brain_Normal,group_enhanced
ENSG00000288105.1,AC117461.1,Brain_Normal,group_enhanced
ENSG00000288107.1,AL731769.2,Brain_Normal,group_enhanced
ENSG00000288546.1,AC004470.2,Brain_Normal,group_enhanced
ENSG00000288568.1,AC092720.3,Brain_Normal,group_enhanced
ENSG00000288597.1,AC234782.2,Brain_Normal,group_enhanced
LOC101927066,NA,Brain_Normal,group_enhanced
LOC101928961,NA,Brain_Normal,group_enhanced
LOC105369304,NA,Brain_Normal,group_enhanced
LOC105369333,NA,Brain_Normal,group_enhanced
LOC105369421,NA,Brain_Normal,group_enhanced
LOC105370328,NA,Brain_Normal,group_enhanced
LOC105371683,NA,Brain_Normal,group_enhanced
LOC105372420,NA,Brain_Normal,group_enhanced
LOC105372602,NA,Brain_Normal,group_enhanced
LOC105374216,NA,Brain_Normal,group_enhanced
LOC105375236,NA,Brain_Normal,group_enhanced
LOC105375760,NA,Brain_Normal,group_enhanced
LOC105375988,NA,Brain_Normal,group_enhanced
LOC105376767,NA,Brain_Normal,group_enhanced
LOC105378409,NA,Brain_Normal,group_enhanced
LOC105379412,NA,Brain_Normal,group_enhanced
LOC107984015,NA,Brain_Normal,group_enhanced
LOC107984089,NA,Brain_Normal,group_enhanced
LOC107984498,NA,Brain_Normal,group_enhanced
LOC107984585,NA,Brain_Normal,group_enhanced
LOC107984763,NA,Brain_Normal,group_enhanced
LOC107985423,NA,Brain_Normal,group_enhanced
LOC107986053,NA,Brain_Normal,group_enhanced
LOC107986082,NA,Brain_Normal,group_enhanced
LOC107986608,NA,Brain_Normal,group_enhanced
LOC124900959,NA,Brain_Normal,group_enhanced
LOC124901277,NA,Brain_Normal,group_enhanced
LOC124902282,NA,Brain_Normal,group_enhanced
LOC124902295,NA,Brain_Normal,group_enhanced
LOC124902742,NA,Brain_Normal,group_enhanced
LOC124902743,NA,Brain_Normal,group_enhanced
LOC124902965,NA,Brain_Normal,group_enhanced
LOC124903011,NA,Brain_Normal,group_enhanced
LOC124903303,NA,Brain_Normal,group_enhanced
LOC124903942,NA,Brain_Normal,group_enhanced
LOC124903949,NA,Brain_Normal,group_enhanced
LOC124904218,NA,Brain_Normal,group_enhanced
LOC124904342,NA,Brain_Normal,group_enhanced
LOC124904546,NA,Brain_Normal,group_enhanced
LOC124904760,NA,Brain_Normal,group_enhanced
LOC124909462,NA,Brain_Normal,group_enhanced
LOC441052,NA,Brain_Normal,group_enhanced
LOC643327,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr1.153,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr1.214,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr1.256,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr10.57,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr11.143,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr11.155,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr12.124,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr12.175,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr13.45,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr14.31,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr15.96,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr16.136,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr16.70,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr19.7,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr19.9,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr2.158,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr2.169,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr2.280,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr20.11,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr20.76,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr21.16,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr22.2,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr3.112,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr3.138,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr3.139,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr3.26,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr3.40,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr4.167,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr4.37,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr4.58,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr5.146,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr5.147,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr6.94,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr6.98,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr7.109,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr7.33,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr7.68,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr7.7,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr7.73,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr8.107,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr8.30,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr8.74,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr8.82,NA,Brain_Normal,group_enhanced
MSTRG.SL.chr9.4,NA,Brain_Normal,group_enhanced
MSTRG.SL.chrX.19,NA,Brain_Normal,group_enhanced
MSTRG.SL.chrX.36,NA,Brain_Normal,group_enhanced
MSTRG.SL.chrX.53,NA,Brain_Normal,group_enhanced
NONHSAG002514.3,NA,Brain_Normal,group_enhanced
NONHSAG003915.3,NA,Brain_Normal,group_enhanced
NONHSAG006911.3,NA,Brain_Normal,group_enhanced
NONHSAG010105.2,NA,Brain_Normal,group_enhanced
NONHSAG016380.2,NA,Brain_Normal,group_enhanced
NONHSAG034912.3,NA,Brain_Normal,group_enhanced
NONHSAG039017.2,NA,Brain_Normal,group_enhanced
NONHSAG040305.2,NA,Brain_Normal,group_enhanced
NONHSAG043490.2,NA,Brain_Normal,group_enhanced
NONHSAG043851.2,NA,Brain_Normal,group_enhanced
NONHSAG055235.2,NA,Brain_Normal,group_enhanced
NONHSAG057458.1,NA,Brain_Normal,group_enhanced
NONHSAG057639.1,NA,Brain_Normal,group_enhanced
NONHSAG060776.1,NA,Brain_Normal,group_enhanced
NONHSAG061636.1,NA,Brain_Normal,group_enhanced
NONHSAG064275.2,NA,Brain_Normal,group_enhanced
NONHSAG065035.1,NA,Brain_Normal,group_enhanced
NONHSAG065315.1,NA,Brain_Normal,group_enhanced
NONHSAG065573.1,NA,Brain_Normal,group_enhanced
NONHSAG068772.1,NA,Brain_Normal,group_enhanced
NONHSAG070527.1,NA,Brain_Normal,group_enhanced
NONHSAG070878.1,NA,Brain_Normal,group_enhanced
NONHSAG071593.1,NA,Brain_Normal,group_enhanced
NONHSAG074662.1,NA,Brain_Normal,group_enhanced
NONHSAG074801.1,NA,Brain_Normal,group_enhanced
NONHSAG075022.1,NA,Brain_Normal,group_enhanced
NONHSAG075902.1,NA,Brain_Normal,group_enhanced
NONHSAG076485.1,NA,Brain_Normal,group_enhanced
NONHSAG077294.1,NA,Brain_Normal,group_enhanced
NONHSAG077921.1,NA,Brain_Normal,group_enhanced
NONHSAG079217.1,NA,Brain_Normal,group_enhanced
NONHSAG079227.1,NA,Brain_Normal,group_enhanced
NONHSAG083572.1,NA,Brain_Normal,group_enhanced
NONHSAG083957.1,NA,Brain_Normal,group_enhanced
NONHSAG084549.1,NA,Brain_Normal,group_enhanced
NONHSAG084986.2,NA,Brain_Normal,group_enhanced
NONHSAG085463.1,NA,Brain_Normal,group_enhanced
NONHSAG087964.1,NA,Brain_Normal,group_enhanced
NONHSAG088293.1,NA,Brain_Normal,group_enhanced
NONHSAG088530.1,NA,Brain_Normal,group_enhanced
NONHSAG088531.1,NA,Brain_Normal,group_enhanced
NONHSAG090847.1,NA,Brain_Normal,group_enhanced
NONHSAG090918.2,NA,Brain_Normal,group_enhanced
NONHSAG091246.1,NA,Brain_Normal,group_enhanced
NONHSAG093210.1,NA,Brain_Normal,group_enhanced
NONHSAG093540.1,NA,Brain_Normal,group_enhanced
NONHSAG093541.1,NA,Brain_Normal,group_enhanced
NONHSAG095679.2,NA,Brain_Normal,group_enhanced
NONHSAG098654.1,NA,Brain_Normal,group_enhanced
NONHSAG098687.1,NA,Brain_Normal,group_enhanced
NONHSAG101492.1,NA,Brain_Normal,group_enhanced
NONHSAG101769.1,NA,Brain_Normal,group_enhanced
NONHSAG103640.1,NA,Brain_Normal,group_enhanced
NONHSAG105059.1,NA,Brain_Normal,group_enhanced
NONHSAG105465.1,NA,Brain_Normal,group_enhanced
NONHSAG106081.1,NA,Brain_Normal,group_enhanced
NONHSAG106315.1,NA,Brain_Normal,group_enhanced
NONHSAG106466.1,NA,Brain_Normal,group_enhanced
NONHSAG106760.1,NA,Brain_Normal,group_enhanced
NONHSAG106765.1,NA,Brain_Normal,group_enhanced
NONHSAG107300.1,NA,Brain_Normal,group_enhanced
NONHSAG107408.1,NA,Brain_Normal,group_enhanced
NONHSAG107931.1,NA,Brain_Normal,group_enhanced
NONHSAG108769.1,NA,Brain_Normal,group_enhanced
NONHSAG108780.1,NA,Brain_Normal,group_enhanced
NONHSAG108781.1,NA,Brain_Normal,group_enhanced
NONHSAG108802.1,NA,Brain_Normal,group_enhanced
NONHSAG109174.1,NA,Brain_Normal,group_enhanced
NONHSAG109175.1,NA,Brain_Normal,group_enhanced
NONHSAG109307.1,NA,Brain_Normal,group_enhanced
NONHSAG109788.1,NA,Brain_Normal,group_enhanced
NONHSAG110356.1,NA,Brain_Normal,group_enhanced
NONHSAG110628.1,NA,Brain_Normal,group_enhanced
NONHSAG110786.1,NA,Brain_Normal,group_enhanced
NONHSAG111355.1,NA,Brain_Normal,group_enhanced
NONHSAG111388.1,NA,Brain_Normal,group_enhanced
NONHSAG111896.1,NA,Brain_Normal,group_enhanced
NONHSAG112525.1,NA,Brain_Normal,group_enhanced
NONHSAG112570.1,NA,Brain_Normal,group_enhanced
NONHSAG113425.1,NA,Brain_Normal,group_enhanced
NONHSAG113566.1,NA,Brain_Normal,group_enhanced
